word,id,bow_freq
barcode,729,28
nyimpen,730,28
bye,731,28
fast respon,,28
gimna,728,28
sibuk,722,28
please,716,28
cahaya,720,28
masuk pakai,,28
cmn,725,28
sambung putus,,28
masuk ulang,,28
daftar pas,,28
kirim uang,,28
bagi,724,28
kluar,727,28
instal ulang,,28
contoh,713,28
kali coba,,28
dh,721,28
alamat,715,28
blum,718,28
chat,719,28
tibatiba,714,28
thank you,,28
sangat,717,28
banget bikin,,28
telfon,726,28
seru,734,27
selamat,746,27
tolong hapus,,27
daftar gagal,,27
mas,750,27
mudah ribet,,27
proses verifikasi,,27
ngebug,737,27
tarik setor,,27
malas,738,27
