word,bow_freq,bow_rank,tfidf_avg,tfidf_rank,rank_diff
blusaving,60,477,0.0007986807359282386,564,-87
delay,60,478,0.0008218924947813232,543,-65
banget aplikasi,59,479,0.0010153136237672615,442,37
pakai qris,59,480,0.0007421036587273563,610,-130
bantu banget,59,481,0.001180519118946762,379,102
aktif scren,59,482,0.0007660428530733819,587,-105
responsif,59,483,0.001055253103348782,425,58
serba,59,484,0.0010420170603760981,432,52
daftar susah,59,485,0.0010876625903741917,412,73
pas masuk,59,486,0.0009176079643587016,484,2
kali kali,59,487,0.0007122233445912091,627,-140
juta,59,488,0.0007204683306335853,622,-134
sandi,59,489,0.0008755052682162898,507,-18
far,59,490,0.0008824339967520003,504,-14
mudah pakai,58,491,0.0011954987385274357,373,118
so far,58,492,0.0008627286686200188,513,-21
ribu,58,493,0.0007771431605557085,581,-88
proses cepat,58,494,0.0011698736980674425,384,110
liat,58,495,0.0007811800127203073,576,-81
knpa,58,496,0.001117728792765228,401,95
handphone,58,497,0.0007453873312454586,604,-107
jelas,58,498,0.0008125527610583665,553,-55
aj,58,499,0.0008856329413313724,502,-3
bi fast,58,500,0.0008057855205900995,559,-59
adm,57,501,0.0007867447967531771,572,-71
normal,57,502,0.0008369415502215673,535,-33
transfer gratis,57,503,0.0009356062461185472,470,33
ful,57,504,0.0008871827365605389,500,4
malam,57,505,0.0008184336523600379,547,-42
lebih,57,506,0.0007461500016613416,603,-97
walet,57,507,0.0008374214536120608,534,-27
is,57,508,0.001011793152309045,443,65
iya,57,509,0.0008871588697417516,501,8
vidio,56,510,0.0008530837212976374,522,-12
masak,56,511,0.0008043361575831407,561,-50
service,56,512,0.0008498409954949711,525,-13
mahal,56,513,0.0009032862985933771,490,23
transaksi cepat,56,514,0.0011682756836775144,385,129
paket,56,515,0.0006721564436458051,660,-145
nominal,56,516,0.0006312976285285197,707,-191
rekomendasi,56,517,0.0012553033120025034,357,160
tambah fitur,56,518,0.0007708971568552948,585,-67
laku,55,519,0.0006780514431465543,651,-132
nyambung,55,520,0.0008841392639921497,503,17
bnget,55,521,0.0011024759770731044,406,115
smoth,55,522,0.0009884177631968266,449,73
rumah,55,523,0.0007898171696277965,570,-47
minimal,55,524,0.0006776768863767067,652,-128
mohon bantu,55,525,0.0008066172781776664,557,-32
mbca,54,526,0.000840578170184409,533,-7
pakai wifi,54,527,0.0007178754361281119,624,-97
bagus transaksi,54,528,0.001250117749023856,359,169
transaksi gagal,54,529,0.0008237179892388602,542,-13
banget masuk,53,530,0.0008446685559074477,531,-1
asli,53,531,0.0008153089384790592,550,-19
vermuk,53,532,0.0010931109346975748,411,121
tolol,53,533,0.0009722256335903334,458,75
capek,53,534,0.0006830436736010996,647,-113
ad,52,535,0.0007590489569748049,596,-61
malu,52,536,0.0007412576757192518,611,-75
limit,52,537,0.0008102866063846644,556,-19
hehe,52,538,0.0008202005261533659,544,-6
banget transaksi,52,539,0.000790231822093207,569,-30
selfie,52,540,0.0008889090421142623,496,44
gmna,52,541,0.0008290920120873558,540,1
kini,51,542,0.0009405443881426494,466,76
ken,51,543,0.0006708731409316246,663,-120
you,51,544,0.0008905311994845249,495,49
sinyal bagus,51,545,0.0007803260897789189,577,-32
banding,51,546,0.000856893868052639,518,28
verifikasi email,51,547,0.000695013188641843,636,-89
csnya,51,548,0.0007322298920283104,614,-66
bagus pokok,51,549,0.0012017012315872577,369,180
tolong bantu,51,550,0.000707343377003832,632,-82
mesti,51,551,0.0006488148998901034,683,-132
ikut,51,552,0.0007607280555932157,593,-41
kembali,50,553,0.0006333885636226705,706,-153
mesin,50,554,0.0005533130150909318,791,-237
atur uang,50,555,0.0008977977091585804,491,64
atas,50,556,0.0007491042152476917,601,-45
rp,50,557,0.0006099235843279719,726,-169
ngak,50,558,0.0007308518618511455,615,-57
dri,50,559,0.00064998965504947,679,-120
wajah susah,50,560,0.0008645004054589762,512,48
ka,49,561,0.0008472201247755964,528,33
kasi,49,562,0.000737240862893219,612,-50
bifast,49,563,0.0007370447750623107,613,-50
fungsi,49,564,0.0008474576679967591,527,37
hapy,49,565,0.0012028617679378456,368,197
reset pasword,49,566,0.0006403111326692249,695,-129
gabisa masuk,49,567,0.0007567441223678599,598,-31
smoga,49,568,0.0010089132927026115,445,123
penuh,49,569,0.0007161836728616984,625,-56
bos,49,570,0.0010448473036935742,431,139
ayo,48,571,0.0007566443118588674,599,-28
slalu,48,572,0.0007916967475873753,568,4
transaksi apa,48,573,0.0008525188390792067,523,50
milenial,48,574,0.0007476766012845634,602,-28
sms,48,575,0.0007650979396976071,589,-14
an,48,576,0.0006888465323486803,641,-65
bayar qris,48,577,0.000649682408065167,681,-104
setor tarik,48,578,0.0006298357012735353,709,-131
paksa,48,579,0.0006415117817037359,692,-113
banget mudah,47,580,0.0008948686120018991,493,87
banget sih,47,581,0.0007213053038111915,620,-39
